,Commentary,Runs,Delivery_Length,Delivery_Line,Shot_Type,Run/NoRun,Bowler_Type,Bowler_Name,Avg_Ball_Speed,MatchID,Dismissal,Dismissal_Type,Beaten/NotBeaten,Home_Away,Good_Bad_Shot,Opponent,Stadium,Shot_Zone,Delivery_Number,Toss,TossDecision,D/N
8,"Dananjaya to Rohit, no run, softly turns this offie into the leg-side. Was in the air, but no damage done",0,GoodLength,wicket_to_wicket,Edge,norun,right arm off break,Dananjaya,83.5,19195,0,,not_beaten,home,bad,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Unknown,8,1,Fielding,DN
9,"Dananjaya to Rohit, 1 run, what was Tharanga doing at long-on? He should've charged in and flung himself forward to try and catch that. Complete miscue on the lofted hit by Rohit. Wanted to take Dananjaya over long-on. Took the inside half of the bat as the spin on that ensured Rohit didn't hit through the line. <b>Tharanga watches the ball land in front of him</b>",1,Unknown,Unknown,Unknown,run,right arm off break,Dananjaya,83.5,19195,0,,not_beaten,home,bad,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,LongOn,7,1,Fielding,DN
10,"Lakmal to Rohit, no run, that's a very good maiden over. Rohit didn't need to play at anyone of them and didn't. That's respecting the bowler's abilities, taking into account the pitch and the conditions - knowing fully well that the target is a small one and there's no need to attack from ball 1",0,Full,outside_stumps,No_shot,norun,right arm medium,Lakmal,130.7,19195,0,,not_beaten,home,bad,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Unknown,6,1,Fielding,DN
11,"Lakmal to Rohit, no run, there is movement for Lakmal in the air and just a bit off the pitch, fifth time in a row that Rohit has left in the over",0,Unknown,Unknown,Unknown,norun,right arm medium,Lakmal,130.7,19195,0,,not_beaten,home,bad,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Unknown,5,1,Fielding,DN
12,"Lakmal to Rohit, no run, short of length outside off, moving away, fourth leave in a row. Good start by Lakmal",0,Short,outside_stumps,Unknown,norun,right arm medium,Lakmal,130.7,19195,0,,not_beaten,home,bad,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Unknown,4,1,Fielding,DN
13,"Lakmal to Rohit, no run, third ball and Rohit wants to unsettle Lakmal. Takes a step forward - albeit very watchfully - sees that the ball is pitched on a good length and moving away, doesn't want to do anything with that, allows that to go to Dickwella",0,GoodLength,outside_stumps,No_shot,norun,right arm medium,Lakmal,130.7,19195,0,,not_beaten,home,bad,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Unknown,3,1,Fielding,DN
14,"Lakmal to Rohit, no run, similar outswinger but more on a fuller length, still the line is outside off, Rohit has another sighter and leaves",0,Full,outside_stumps,Unknown,norun,right arm medium,Lakmal,130.7,19195,0,,not_beaten,home,bad,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Unknown,2,1,Fielding,DN
15,"Lakmal to Rohit, no run, lovely outswinger, pitches outside off and moves away, Rohit watchfully lets it go. That carried nicely to Dickwella and good shape on that first up from Lakmal",0,Short,outside_stumps,No_shot,norun,right arm medium,Lakmal,130.7,19195,0,,beaten,home,bad,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Unknown,1,1,Fielding,DN
2,"Stoinis to Rohit, no run, fuller length delivery outside off, driven straight to the fielder at cover",0,Full,outside_stumps,Drive,norun,right arm medium,Stoinis,126.4,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Cover,42,1,Batting,DN
3,"Stoinis to Rohit, <b>FOUR</b>, <b>slapped</b>, width on offer from Stoinis and there's no second measures on that sliced drive from Rohit, was in the air, but went past Maxwell even before he could reach there with the dive, the man in the deep is square and he had no chance",4,GoodLength,wicket_to_wicket,Drive,run,right arm medium,Stoinis,126.4,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,Unknown,41,1,Batting,DN
4,"Stoinis to Rohit, no run, that's very loose from Rohit, on a good length and well outside off, Rohit went chasing after that and nearly fenced an edged to the keeper",0,GoodLength,outside_stumps,Edge,norun,right arm medium,Stoinis,126.4,18856,0,,beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,40,1,Batting,DN
5,"Stoinis to Rohit, no run, full and wide of off, Rohit went hard on the drive and mistimes it towards Smith at extra-cover",0,Full,outside_stumps,Drive,norun,right arm medium,Stoinis,126.4,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Cover,39,1,Batting,DN
6,"Zampa to Rohit, no run, turn for Zampa, but the length is on the shorter side, Rohit goes back and pushes it back at the bowler",0,Short,wicket_to_wicket,Defensive_shot,norun,right arm leg break,Zampa,80.4,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,38,1,Batting,DN
7,"Zampa to Rohit, no run, fraction short and wide of off, Rohit cuts it straight to Cartwright at backward point",0,Short,outside_stumps,Cut,norun,right arm leg break,Zampa,80.4,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,37,1,Batting,DN
8,"Zampa to Rohit, 1 run, Zampa drops this one short and wide of off, cracked away square on the off-side for a single",1,Short,outside_stumps,Unknown,run,right arm leg break,Zampa,80.4,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,36,1,Batting,DN
9,"Zampa to Rohit, no run, lovely leg-break from Zampa, flighted delivery outside off and drew Rohit forward into the push, beaten on the outside edge",0,GoodLength,wicket_to_wicket,Edge,norun,right arm leg break,Zampa,80.4,18856,0,,beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,35,1,Batting,DN
10,"Zampa to Rohit, no run, tossed up just outside off, Rohit gets forward and defends",0,Full,outside_stumps,Defensive_shot,norun,right arm leg break,Zampa,80.4,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,34,1,Batting,DN
11,"Stoinis to Rohit, 1 run, short and just outside off, Rohit swivels across and helps it on its way towards long leg",1,Short,wicket_to_wicket,Unknown,run,right arm medium,Stoinis,126.4,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,FineLeg,33,1,Batting,DN
12,"Stoinis to Rohit, 1 run, on a good length and just outside off, Rohit runs it down towards third man for a single",1,GoodLength,outside_stumps,Late_Cut,run,right arm medium,Stoinis,126.4,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,ThirdMan,32,1,Batting,DN
13,"Stoinis to Rohit, 1 run, short and well outside off, Rohit has plenty of time to wait and pull it towards deep mid-wicket for a single",1,Short,outside_stumps,Pull_hook,run,right arm medium,Stoinis,126.4,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,Midwicket,31,1,Batting,DN
14,"Faulkner to Rohit, no run, Faulkner shortens his length and gets it to angle back into the right-hander, Rohit is slightly cramped for room as he dabs it to the left of backward point",0,Short,wicket_to_wicket,Cut,norun,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,30,1,Batting,DN
15,"Faulkner to Rohit, <b>FOUR</b>, <b>smashed</b>, counter-punch from India after the three early jolts, length delivery on off, Rohit gets forward and thumps it back over the bowler's head, one bounce and over the ropes",4,GoodLength,wicket_to_wicket,Defensive_shot,run,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,29,1,Batting,DN
16,"Faulkner to Rohit, no run, on a good length and on off, pushed back at the bowler",0,GoodLength,wicket_to_wicket,Defensive_shot,norun,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,28,1,Batting,DN
18,"Stoinis to Rohit, 1 run, on a good length and on the stumps, worked wide of mid-wicket for a single",1,GoodLength,wicket_to_wicket,Pull_hook,run,right arm medium,Stoinis,126.4,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,Midwicket,26,1,Batting,DN
19,"Stoinis to Rohit, 1 run, short of a length and just outside off, worked in front of square on the on-side for a single",1,Short,outside_stumps,Unknown,run,right arm medium,Stoinis,126.4,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,25,1,Batting,DN
20,"Faulkner to Rohit, 1 run, on a good length and just outside off, Rohit drops it to the right of cover-point and calls his partner across for a quick single",1,GoodLength,outside_stumps,Unknown,run,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Cover,24,1,Batting,DN
21,"Faulkner to Rohit, 1 run, full and wide of off, Rohit gets into a nice position on the drive, there's a fielder in the deep and it's just a single",1,Full,outside_stumps,Drive,run,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,Unknown,23,1,Batting,DN
22,"Faulkner to Rohit, no run, on a good length and just outside off, Rohit plays with an open face and finds backward point",0,GoodLength,outside_stumps,Cut,norun,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,22,1,Batting,DN
23,"Faulkner to Rohit, no run, back of a length and just outside off, Rohit plays close to his body and dabs it towards backward point",0,Short,wicket_to_wicket,Cut,norun,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,21,1,Batting,DN
24,"Faulkner to Rohit, 1 run, short of a length and on Rohit's hips, nudged away wide of mid-wicket for a single",1,Short,wicket_to_wicket,Pull_hook,run,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,Midwicket,20,1,Batting,DN
25,"Faulkner to Rohit, <b>FOUR</b>, <b>short, wide and four</b>, gentle loosener from Faulkner, Rohit had to reach out on the cut, gets on top of the bounce and guides it into the gap at backward point",4,Short,outside_stumps,Cut,run,left arm medium,Faulkner,129.8,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,Point,19,1,Batting,DN
26,"Coulter-Nile to Rohit, 1 run, short and wide of off, Rohit gets on top of the bounce and ramps it down towards third man, goes to Faulkner on the bounce",1,Short,outside_stumps,Late_Cut,run,right arm fast,Coulter-Nile,136.8,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,ThirdMan,18,1,Batting,DN
27,"Coulter-Nile to Rohit, no run, fuller length delivery outside off, Rohit leans across and defends it towards the off-side",0,Full,outside_stumps,Defensive_shot,norun,right arm fast,Coulter-Nile,136.8,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,17,1,Batting,DN
28,"Coulter-Nile to Rohit, no run, Rohit is looking itchy! On a good length and well wide of off, he saw the width and threw his bat at that, gets a thick inside edge towards mid-off",0,GoodLength,outside_stumps,Edge,norun,right arm fast,Coulter-Nile,136.8,18856,0,,beaten,home,bad,Australia,MA Chidambaram Stadium,LongOff,16,1,Batting,DN
29,"Coulter-Nile to Rohit, no run, short of a good length and just outside off, defended with an open face towards backward point",0,Short,outside_stumps,Cut,norun,right arm fast,Coulter-Nile,136.8,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,15,1,Batting,DN
30,"Pat Cummins to Rohit, 1 run, <b>just short of Zampa</b>, short and Rohit took on the bowler, pulled it hard and flat, didn't bother to keep it down. The ball bounced just in front of Zampa at long-leg - who does well to get his body behind the line and keep the batsmen down to a single",1,Short,wicket_to_wicket,Pull_hook,run,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,FineLeg,14,1,Batting,DN
31,"Pat Cummins to Rohit, 1 run, back of a length and just outside off, steered away towards third man for a single",1,Short,outside_stumps,Late_Cut,run,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,ThirdMan,13,1,Batting,DN
32,"Pat Cummins to Rohit, no run, <b>edged and dropped</b>, that's a massive let-off for Rohit and it's Smith who has dropped it. Agony for Cummins, he's forced Rohit into the mistake, the pressure was telling on him and it made him play a nothing short. With two slips in place, he was looking to dab it towards third man, the edge is found and it went at a good height to Smith's right, he went with both hands and drops it",0,Short,wicket_to_wicket,Late_Cut,norun,right arm fast,Pat Cummins,144.1,18856,0,,beaten,home,bad,Australia,MA Chidambaram Stadium,ThirdMan,12,1,Batting,DN
33,"Pat Cummins to Rohit, no run, tad fuller and just outside off, Rohit gets forward and finds mid-off with the drive",0,Full,outside_stumps,Drive,norun,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,LongOff,11,1,Batting,DN
34,"Pat Cummins to Rohit, no run, fraction fuller and just outside off, Rohit stays in his crease and defends it with an open face towards backward point, wants a run, but is sent back by Kohli",0,Full,outside_stumps,Cut,norun,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,10,1,Batting,DN
35,"Pat Cummins to Rohit, no run, short of a good length and in that corridor outside off, Rohit presses across and defends it towards the off-side",0,Short,outside_stumps,Defensive_shot,norun,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,9,1,Batting,DN
36,"Pat Cummins to Rohit, no run, this is an excellent start from both bowlers, short of a good length and straightening from there, opened up Rohit as he looked to defend, he ends up squirting it towards point",0,Short,wicket_to_wicket,Defensive_shot,norun,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,8,1,Batting,DN
37,"Pat Cummins to Rohit, no run, back of a length and just outside off, stayed a bit low as well. Rohit was pressing across as he dabbed it towards backward point",0,Short,wicket_to_wicket,Cut,norun,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,7,1,Batting,DN
38,"Pat Cummins to Rohit, 2 runs, too short from Cummins, Rohit stayed on the front-foot as he pulled, didn't get hold of the shot - but has enough to clear the infield. Head gives the chase and hauls it back in, couple of runs for Rohit",2,Short,outside_stumps,Pull_hook,run,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,good,Australia,MA Chidambaram Stadium,Unknown,6,1,Batting,DN
39,"Coulter-Nile to Rohit, no run, fuller length delivery and in that channel outside off, Rohit gets well forward and watchfully lets it go by",0,Short,outside_stumps,No_shot,norun,right arm fast,Coulter-Nile,136.8,18856,0,,beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,5,1,Batting,DN
40,"Pat Cummins to Rohit, 2 runs, Rohit gets off the mark with a brace, fraction too short and on his hips, he gets inside the line and nudges it behind square on the on-side for a couple",2,Short,outside_stumps,Unknown,run,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,4,1,Batting,DN
41,"Pat Cummins to Rohit, no run, this is a good start from Cummins, on a good length and in that corridor outside off, Rohit watches it all along and lets it go",0,Short,outside_stumps,No_shot,norun,right arm fast,Pat Cummins,144.1,18856,0,,beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,3,1,Batting,DN
42,"Pat Cummins to Rohit, no run, on a good length and in that channel around fourth stump, Rohit gets a big stride forward, lifts his bat and lets it go",0,Short,outside_stumps,No_shot,norun,right arm fast,Pat Cummins,144.1,18856,0,,beaten,home,bad,Australia,MA Chidambaram Stadium,Unknown,2,1,Batting,DN
43,"Pat Cummins to Rohit, no run, this is a good start from Cummins, on a good length and in that channel around off, Rohit is half-forward as he defends it towards backward point",0,Full,outside_stumps,Cut,norun,right arm fast,Pat Cummins,144.1,18856,0,,not_beaten,home,bad,Australia,MA Chidambaram Stadium,Point,1,1,Batting,DN
44,"Pat Cummins to Rohit, no run, good pace and good carry for Cummins, short of a good length and holding its line outside off, Rohit covers the line and lets it go. Wade collects it above his head",0,Short,outside_stumps,No_shot,norun,right arm fast,Pat Cummins,144.1,18856,0,,beaten,home,bad,Australia,MA Chidambaram Stadium,Cover,0,1,Batting,DN
3,"Pat Cummins to Rohit, 1 run, tight single. Rahane may have made it in the end. Back of length, turned to the right of square leg, and there's no hesitation which is the key",1,GoodLength,wicket_to_wicket,Unknown,run,right arm fast,Pat Cummins,144.1,18857,0,,not_beaten,home,bad,Australia,Eden Gardens,SquareLeg,12,1,Batting,DN
4,"Pat Cummins to Rohit, no run, back of a length ball just outside off, patted to point",0,Short,outside_stumps,Unknown,norun,right arm fast,Pat Cummins,144.1,18857,0,,not_beaten,home,bad,Australia,Eden Gardens,Point,11,1,Batting,DN
5,"Pat Cummins to Rohit, no run, back of a length delivery around off, blocked to cover-point",0,Short,wicket_to_wicket,Drive,norun,right arm fast,Pat Cummins,144.1,18857,0,,not_beaten,home,bad,Australia,Eden Gardens,Cover,10,1,Batting,DN
6,"Pat Cummins to Rohit, no run, fullish just outside off, defended to cover-point",0,Full,outside_stumps,Drive,norun,right arm fast,Pat Cummins,144.1,18857,0,,not_beaten,home,bad,Australia,Eden Gardens,Cover,9,1,Batting,DN
7,"Pat Cummins to Rohit, no run, back of a length outside off, left alone",0,Short,outside_stumps,No_shot,norun,right arm fast,Pat Cummins,144.1,18857,0,,beaten,home,bad,Australia,Eden Gardens,Unknown,8,1,Batting,DN
8,"Pat Cummins to Rohit, <b>FOUR</b>, and right on cue, Rohit makes a mockery of what I just said. He sees one pitched up outside off and blazes a drive through cover. Wow, what flourish!",4,Full,outside_stumps,Drive,run,right arm fast,Pat Cummins,144.1,18857,0,,not_beaten,home,good,Australia,Eden Gardens,Cover,7,1,Batting,DN
9,"Pat Cummins to Rohit, no run, eyes a punch through cover, but the ball cuts in and deflects off a thick inside edge onto pad. They'll probably have to reign in their strokeplay in these first few overs",0,GoodLength,wicket_to_wicket,Edge,norun,right arm fast,Pat Cummins,144.1,18857,0,,beaten,home,bad,Australia,Eden Gardens,Cover,6,1,Batting,DN
10,"Pat Cummins to Rohit, no run, good length ball at the stumps, Rohit prods forward and defends",0,Full,wicket_to_wicket,Defensive_shot,norun,right arm fast,Pat Cummins,144.1,18857,0,,not_beaten,home,bad,Australia,Eden Gardens,Unknown,5,1,Batting,DN
11,"Coulter-Nile to Rohit, 1 run, climbs on Rohit from a short of length and flies off a thick edge down to third man. These are encouraging signs for the Aussies. It rose a lot more than Rohit expected it to, surprised him",1,Short,wicket_to_wicket,Late_Cut,run,right arm fast,Coulter-Nile,136.8,18857,0,,beaten,home,good,Australia,Eden Gardens,ThirdMan,4,1,Batting,DN
12,"Coulter-Nile to Rohit, no run, back of a length ball just outside off, 139kph, blocked to cover-point",0,Short,wicket_to_wicket,Drive,norun,right arm fast,Coulter-Nile,136.8,18857,0,,not_beaten,home,bad,Australia,Eden Gardens,Cover,3,1,Batting,DN
13,"Coulter-Nile to Rohit, no run, good length at off, defends to backward point",0,Full,outside_stumps,Cut,norun,right arm fast,Coulter-Nile,136.8,18857,0,,not_beaten,home,bad,Australia,Eden Gardens,Point,2,1,Batting,DN
14,"Pat Cummins to Rohit, no run, back of a length just outside off, left alone. Some really good pace and bounce off the wicket",0,Short,outside_stumps,No_shot,norun,right arm fast,Pat Cummins,144.1,18857,0,,beaten,home,bad,Australia,Eden Gardens,Unknown,1,1,Batting,DN
15,"Pat Cummins to Rohit, 1 run, short of length into the body, hits Rohit high on the bat as he turns it wide of square leg",1,Short,wicket_to_wicket,Unknown,run,right arm fast,Pat Cummins,144.1,18857,0,,not_beaten,home,bad,Australia,Eden Gardens,SquareLeg,0,1,Batting,DN
3,"Kane Richardson to Rohit, 1 run, goes back and pumps a single to extra cover",1,Short,outside_stumps,Drive,run,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Cover,61,0,Batting,DN
4,"Coulter-Nile to Rohit, 1 run, times this off the back foot through covers",1,Short,outside_stumps,Drive,run,right arm fast,Coulter-Nile,136.8,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Cover,60,0,Batting,DN
5,"Kane Richardson to Rohit, no run, jab-blocked to short cover",0,Short,wicket_to_wicket,Defensive_shot,norun,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Cover,59,0,Batting,DN
6,"Kane Richardson to Rohit, no run, mistimes the back foot punch. Scissors it off the inside half into the pitch",0,GoodLength,outside_stumps,Defensive_shot,norun,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Unknown,58,0,Batting,DN
7,"Kane Richardson to Rohit, 2 runs, <b>good stop from Cummins.</b> Runs across from deep mid-wicket, leans further forward and slaps the ball inside the ropes. Rohit had just stood tall and swatted it, intending a boundary (or a six, yeah) through cow corner",2,Unknown,Unknown,Pull_hook,run,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,good,Australia,Holkar Cricket Stadium,Midwicket,57,0,Batting,DN
8,"Coulter-Nile to Rohit, no run, <b>141kmph</b> full ball but cannot jam it out wide of backward point",0,Full,outside_stumps,Cut,norun,right arm fast,Coulter-Nile,136.8,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Point,56,0,Batting,DN
9,"Coulter-Nile to Rohit, no run, back of a length, defended to backward point",0,Short,outside_stumps,Cut,norun,right arm fast,Coulter-Nile,136.8,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Point,55,0,Batting,DN
10,"Pat Cummins to Rohit, no run, <b>edged and dropped</b>, Handscomb is just a part-time keeper and this was a <b>tough chance</b> by his standards. This was a back of a length delivery outside off, Rohit was looking to run it down towards third man, went a lot finer and to the right of the keeper. It was dying onto him, he dived forward, got his right gloves underneath but can't hold on. How much will this miss cost?",0,Short,outside_stumps,Late_Cut,norun,right arm fast,Pat Cummins,144.1,18858,0,,beaten,home,bad,Australia,Holkar Cricket Stadium,ThirdMan,54,0,Batting,DN
11,"Pat Cummins to Rohit, 1 run, on a good length and on Rohit's pads, tucked away past mid-wicket for a single",1,GoodLength,wicket_to_wicket,Pull_hook,run,right arm fast,Pat Cummins,144.1,18858,0,,not_beaten,home,good,Australia,Holkar Cricket Stadium,Midwicket,53,0,Batting,DN
12,"Pat Cummins to Rohit, <b>FOUR</b>, <b>back-to-back boundaries from Rohit</b>, this was short and on the stumps, Rohit swivels across, rolls his wrists and pulls it past square leg. Used the pace on the ball and bisected the two fielders in the deep. Agar sprints across, puts in the dive but can't pull it back in",4,Short,wicket_to_wicket,Pull_hook,run,right arm fast,Pat Cummins,144.1,18858,0,,not_beaten,home,good,Australia,Holkar Cricket Stadium,SquareLeg,52,0,Batting,DN
13,"Pat Cummins to Rohit, <b>FOUR</b>, <b>lovely</b>, length ball outside off, Rohit gets forward and thumps it back over the bowler's head, one bounce and over the ropes",4,GoodLength,outside_stumps,Unknown,run,right arm fast,Pat Cummins,144.1,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Unknown,51,0,Batting,DN
14,"Pat Cummins to Rohit, no run, on a good length and on the stumps, pushed back at the bowler",0,GoodLength,wicket_to_wicket,Defensive_shot,norun,right arm fast,Pat Cummins,144.1,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Unknown,50,0,Batting,DN
15,"Stoinis to Rohit, 1 run, fuller length delivery on Rohit's pads, clipped away past mid-wicket for a single",1,Full,wicket_to_wicket,Pull_hook,run,right arm medium,Stoinis,126.4,18858,0,,not_beaten,home,good,Australia,Holkar Cricket Stadium,Midwicket,49,0,Batting,DN
16,"Agar to Rohit, 1 run, slower and just outside off, eased down towards long-off for a single",1,GoodLength,outside_stumps,Flick,run,left arm orthodox,Agar,95.2,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,LongOff,48,0,Batting,DN
17,"Agar to Rohit, no run, flighted delivery on Rohit's pads, tucked away towards mid-wicket",0,GoodLength,wicket_to_wicket,Pull_hook,norun,left arm orthodox,Agar,95.2,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Midwicket,47,0,Batting,DN
18,"Agar to Rohit, <b>FOUR</b>, things are slipping away from Australia and Coulter-Nile is down, he seems OK though. This was dropped short and wide of off, Sharma makes room and cuts it square on the off-side. Coulter-Nile came across from the deep and seemed to have jarred his elbow against the ground as he dived. On replays, he actually smacked his face against the hard ground, that should be painful",4,Short,outside_stumps,Unknown,run,left arm orthodox,Agar,95.2,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,ThirdMan,46,0,Batting,DN
19,"Kane Richardson to Rohit, 1 run, on a good length and on the stumps, eased down towards long-on for a single",1,GoodLength,wicket_to_wicket,Unknown,run,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,LongOn,45,0,Batting,DN
20,"Kane Richardson to Rohit, no run, back of a length and just outside off, Rohit stands tall and finds the man at cover",0,Short,outside_stumps,Unknown,norun,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Cover,44,0,Batting,DN
21,"Kane Richardson to Rohit, 1 run, that was <b>ugly from Rohit</b>, he was undone by the slower ball, was looking to go inside out over cover, the lack of pace meant he ended up slicing it over cover",1,GoodLength,outside_stumps,Drive,run,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Cover,43,0,Batting,DN
22,"Agar to Rohit, <b>SIX</b>, <b>fifty for Rohit</b>, yet another clean strike into the stands at long-on. Too full and too straight from Agar, Rohit gets a good stride forward and thumps it high and over the man at long-on, <b>33rd ODI fifty for Rohit</b>",6,Full,wicket_to_wicket,Drive,run,left arm orthodox,Agar,95.2,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,LongOn,42,0,Batting,DN
23,"Agar to Rohit, no run, tossed up on off, Rohit gets forward and defends it back at the bowler. He can't stop it cleanly, but cover gets across and makes the stop",0,Full,wicket_to_wicket,Defensive_shot,norun,left arm orthodox,Agar,95.2,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Cover,41,0,Batting,DN
24,"Agar to Rohit, no run, nice drift from Agar, came with the angle to Rohit, he was looking to drive towards long-on, closed the bat-face and gets a soft leading edge back towards Agar",0,GoodLength,wicket_to_wicket,Edge,norun,left arm orthodox,Agar,95.2,18858,0,,beaten,home,bad,Australia,Holkar Cricket Stadium,LongOn,40,0,Batting,DN
25,"Kane Richardson to Rohit, 1 run, on a good length and well outside off, driven towards deep cover for a single",1,GoodLength,outside_stumps,Drive,run,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,good,Australia,Holkar Cricket Stadium,Cover,39,0,Batting,DN
26,"Kane Richardson to Rohit, no run, short of a length and on off, punched to the left of mid-on",0,Short,wicket_to_wicket,Drive,norun,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,LongOn,38,0,Batting,DN
27,"Kane Richardson to Rohit, no run, slower ball outside off, rolled his fingers across the seam, pushed straight to the fielder at point",0,GoodLength,outside_stumps,Defensive_shot,norun,right arm fast medium,Kane Richardson,132.6,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Point,37,0,Batting,DN
28,"Agar to Rohit, 1 run, flatter and on the stumps, punched down towards long-off for a single",1,GoodLength,wicket_to_wicket,Defensive_shot,run,left arm orthodox,Agar,95.2,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,LongOff,36,0,Batting,DN
29,"Agar to Rohit, no run, slower and just outside off, Rohit gets half-forward and defends",0,Full,outside_stumps,Defensive_shot,norun,left arm orthodox,Agar,95.2,18858,0,,not_beaten,home,bad,Australia,Holkar Cricket Stadium,Unknown,35,0,Batting,DN
